NAME,total_households,no_vehicle_households,state_fips,county_fips,tract_fips,GEOID,pct_no_vehicle
Census Tract 1; Bronx County; New York,0,0,36,005,000100,36005000100,
Census Tract 2; Bronx County; New York,1425,301,36,005,000200,36005000200,0.2112280701754386
Census Tract 4; Bronx County; New York,2309,600,36,005,000400,36005000400,0.25985275010827197
Census Tract 16; Bronx County; New York,2205,1193,36,005,001600,36005001600,0.5410430839002267
Census Tract 19.01; Bronx County; New York,940,699,36,005,001901,36005001901,0.7436170212765958
Census Tract 19.02; Bronx County; New York,468,255,36,005,001902,36005001902,0.5448717948717948
Census Tract 19.03; Bronx County; New York,0,0,36,005,001903,36005001903,
Census Tract 19.04; Bronx County; New York,0,0,36,005,001904,36005001904,
Census Tract 20.01; Bronx County; New York,1774,1363,36,005,002001,36005002001,0.7683201803833145
Census Tract 20.02; Bronx County; New York,1868,1211,36,005,002002,36005002002,0.6482869379014989
Census Tract 23; Bronx County; New York,1923,1659,36,005,002300,36005002300,0.8627145085803433
Census Tract 24; Bronx County; New York,0,0,36,005,002400,36005002400,
Census Tract 25; Bronx County; New York,1944,1606,36,005,002500,36005002500,0.8261316872427984
Census Tract 27.01; Bronx County; New York,1159,906,36,005,002701,36005002701,0.7817083692838654
Census Tract 27.02; Bronx County; New York,1530,1087,36,005,002702,36005002702,0.7104575163398693
Census Tract 28; Bronx County; New York,2542,825,36,005,002800,36005002800,0.3245476003147128
Census Tract 31; Bronx County; New York,1031,798,36,005,003100,36005003100,0.7740058195926285
Census Tract 33; Bronx County; New York,1220,829,36,005,003300,36005003300,0.6795081967213115
Census Tract 35; Bronx County; New York,1478,982,36,005,003500,36005003500,0.6644113667117727
Census Tract 37; Bronx County; New York,188,163,36,005,003700,36005003700,0.8670212765957447
Census Tract 38; Bronx County; New York,366,85,36,005,003800,36005003800,0.23224043715846995
Census Tract 39; Bronx County; New York,2330,1654,36,005,003900,36005003900,0.7098712446351931
Census Tract 40.01; Bronx County; New York,529,168,36,005,004001,36005004001,0.31758034026465026
Census Tract 41; Bronx County; New York,2444,1579,36,005,004100,36005004100,0.6460720130932897
Census Tract 42; Bronx County; New York,2922,1099,36,005,004200,36005004200,0.37611225188227243
Census Tract 43; Bronx County; New York,2213,1655,36,005,004300,36005004300,0.7478535924084952
Census Tract 44; Bronx County; New York,1610,1134,36,005,004400,36005004400,0.7043478260869566
Census Tract 46; Bronx County; New York,672,368,36,005,004600,36005004600,0.5476190476190477
Census Tract 48; Bronx County; New York,1523,1124,36,005,004800,36005004800,0.7380170715692712
Census Tract 50.01; Bronx County; New York,1377,928,36,005,005001,36005005001,0.6739288307915758
Census Tract 50.02; Bronx County; New York,1936,1526,36,005,005002,36005005002,0.7882231404958677
Census Tract 51; Bronx County; New York,2360,2023,36,005,005100,36005005100,0.8572033898305085
Census Tract 52; Bronx County; New York,820,577,36,005,005200,36005005200,0.7036585365853658
Census Tract 53; Bronx County; New York,1634,1255,36,005,005300,36005005300,0.7680538555691554
Census Tract 54; Bronx County; New York,1781,1179,36,005,005400,36005005400,0.6619876473891072
Census Tract 56; Bronx County; New York,953,567,36,005,005600,36005005600,0.5949632738719832
Census Tract 59.02; Bronx County; New York,1247,879,36,005,005902,36005005902,0.7048917401764234
Census Tract 60; Bronx County; New York,375,188,36,005,006000,36005006000,0.5013333333333333
Census Tract 61; Bronx County; New York,1943,1175,36,005,006100,36005006100,0.6047349459598559
Census Tract 62; Bronx County; New York,2543,1800,36,005,006200,36005006200,0.7078254030672434
